account_id,status,cos,rim_age,loan,s_plus_c,fico_b,ck_returns,max_days_neg,num_times_neg,ntriggers,avg_bal6,avg_bal3
6n1TB6eymEDr,Closed,1,38,0,1,523,NA,25,9,2,NA,NA
38hBeNIkTskb,Closed,1,37,0,1,588,NA,14,1,2,NA,NA
NN2OgXrn9bu8,Closed,1,37,0,1,511,NA,72,2,1,NA,NA
3ozqJMOoIjJu,Closed,1,37,0,1,577,NA,11,1,2,NA,NA
CX82diEvsSx4,Closed,1,37,0,1,735,NA,0,0,0,NA,NA
eCYcG9p5ym1T,Closed,1,37,0,1,477,NA,14,42,11,NA,NA
mRVLHCYZulQv,Closed,1,37,0,1,535,NA,14,8,5,NA,NA
DI5miuuHMtJi,Closed,1,37,0,1,497,NA,2,1,3,NA,NA
gz1lXmCt7RLE,Closed,1,37,0,1,525,NA,17,1,2,NA,NA
pp0RWvVpZjtN,Closed,1,36,0,1,463,4,69,2,0,NA,NA
1601bSvlioAr,Closed,1,36,0,1,505,NA,110,59,5,-301,-620
jcWNBzGUF2Vu,Closed,1,35,0,1,537,NA,13,13,4,-12,NA
xZxGIVWlpezS,Closed,1,35,0,0,566,NA,11,8,3,NA,NA
mv4RSzuq1hen,Closed,1,34,0,1,514,10,69,6,4,NA,NA
yLBfPe8llPuy,Closed,1,34,0,1,490,NA,6,3,1,NA,NA
MsAcUhEiHJGG,Closed,1,34,0,1,535,3,15,9,0,NA,NA
ecYXXriKngV1,Closed,1,33,0,1,534,NA,1,2,2,NA,NA
PxMQqM6WxATX,Closed,1,33,0,1,568,NA,61,3,1,NA,NA
8Ig267N6VAIy,Closed,1,33,0,0,636,NA,4,2,5,-35,-17
kYtwnlMRJkXt,Closed,1,33,0,1,639,NA,7,1,0,NA,NA
LxxBVToQCzht,Closed,1,31,0,1,545,NA,4,1,1,NA,NA
CJoxuB9AVgXA,Closed,1,30,0,1,589,NA,1,1,0,NA,NA
5vwGtsBa9vm7,Closed,1,30,0,1,564,2,2,2,0,NA,NA
S4QzYjDZQSRM,Closed,1,29,0,1,550,NA,138,1,2,NA,NA
NEPYYuH6b1nd,Closed,1,29,0,1,536,NA,0,0,3,NA,NA
sbPvYKLdHeFq,Closed,1,29,0,1,490,NA,7,2,4,NA,NA
FN8jofT9DvnX,Closed,1,29,0,1,633,NA,0,0,2,NA,NA
Vn0r4OSVWqr7,Closed,1,28,0,1,652,NA,0,0,0,NA,NA
1dhpiJCc9t4p,Closed,1,28,0,0,591,1,2,3,0,NA,NA
XuFdWSRGcl6t,Closed,1,27,0,1,564,NA,1,1,1,NA,NA
0Nw6xcBWmSHx,Closed,1,27,0,1,672,NA,133,2,0,5,5
TPMgO90ULcJ6,Closed,1,27,0,1,0,NA,3,8,1,-77,-62
4dtP1N3iWHJh,Closed,1,27,0,1,449,NA,15,16,6,NA,NA
3SKHwGPxrJOq,Closed,1,27,0,1,670,NA,11,1,1,NA,NA
lXpxJxExsjun,Closed,1,26,0,0,549,1,1,2,4,NA,NA
uamZMbuotygC,Closed,1,24,0,0,563,2,23,2,0,NA,NA
WdW589TNdN5h,Closed,1,24,0,1,549,NA,12,2,1,NA,NA
QxkOYBfpx5g3,Closed,1,42,0,1,540,NA,81,2,1,NA,NA
OiNc5FgrVpEG,Closed,1,42,0,1,636,NA,26,8,3,NA,NA
IhkjyR8BczsD,Closed,1,42,0,1,640,NA,19,56,5,-86,-43
7rZ5HcZXZLJT,Closed,1,42,0,1,608,1,2,5,0,NA,NA
SVyi2Wf7pQui,Closed,1,41,0,1,503,NA,24,4,1,NA,NA
8qcCRQCXL4D2,Closed,1,41,0,0,531,NA,7,2,3,411,808
0ymhRscPzqdI,Closed,1,41,0,1,691,NA,8,4,3,-41,-50
XcYlPCOFexUT,Closed,1,40,0,1,795,NA,1,1,0,NA,NA
EP2wxtX12BpD,Closed,1,40,0,1,697,NA,1,1,0,NA,NA
Xgs1SShmNmfq,Closed,1,40,0,1,542,NA,36,43,3,NA,NA
2Go4oivY6xE0,Closed,1,40,0,1,530,NA,0,0,1,NA,NA
r989YZhHbe43,Closed,1,39,0,1,553,NA,1,1,0,NA,NA
uYojACH6EfxT,Closed,1,39,0,0,605,NA,0,0,1,NA,NA
XLZmNqfBLpsb,Closed,1,39,0,1,614,NA,37,27,1,NA,NA
mExLgJD5QOHr,Closed,1,39,0,1,691,NA,3,18,0,5030,7776
vEwXHNVOLdCs,Closed,1,39,0,1,539,NA,12,15,3,NA,NA
wDQ9UNTlEEXP,Closed,1,39,0,1,575,NA,1,1,0,NA,NA
5lFFQP33S1Z5,Closed,1,38,0,0,580,NA,0,0,2,NA,NA
ymMDLWuUArKY,Closed,1,38,0,1,460,6,65,35,7,NA,NA
u961qKJfvUPF,Closed,1,37,0,0,554,1,0,0,4,NA,NA
Ku6crpTPswy1,Closed,1,37,0,1,496,NA,41,6,4,NA,NA
aGE1t1iG97ig,Closed,1,37,0,1,512,NA,1,1,3,NA,NA
nmR4iAVzmrZP,Closed,1,35,0,1,579,NA,69,2,4,NA,NA
MkIXTTAqSc3x,Closed,1,34,0,1,536,NA,66,11,4,NA,NA
ygjEx7FCN0Q4,Closed,1,34,0,0,531,NA,7,8,3,NA,NA
jNieSb0yMrxS,Closed,1,33,0,0,629,NA,89,21,2,NA,NA
ZKpLXi5oS9jS,Closed,1,32,0,1,601,NA,0,0,0,NA,NA
HIo83sLsOanU,Closed,1,32,0,1,459,NA,35,4,2,NA,NA
DvK75dqhsToE,Closed,1,32,0,1,579,NA,45,10,0,NA,NA
TlZeuHACey2i,Closed,1,32,0,1,519,NA,1,2,0,NA,NA
PLAkJxYhWqd3,Closed,1,32,0,1,568,NA,0,0,2,NA,NA
ozDa1V6MeUox,Closed,1,31,0,1,496,NA,1,1,4,NA,NA
MsB51Wr4xqVa,Closed,1,29,0,0,490,1,0,0,5,91,91
0mvQIz6OxQxN,Closed,1,29,0,0,714,NA,0,0,0,-16,NA
ielFKu8o1LKW,Closed,1,29,0,0,0,NA,83,7,3,NA,NA
LDKsRmVo7Bat,Closed,1,29,0,1,587,NA,12,7,0,NA,NA
6DN820u5JUev,Closed,1,28,0,1,557,NA,0,0,0,NA,NA
j2jehJXlg2kQ,Closed,1,28,0,1,579,NA,2,3,0,NA,NA
vghh3QdBXJgq,Closed,1,28,0,1,566,NA,9,3,0,NA,NA
E0VtQdjvdAQb,Closed,1,27,1,0,700,NA,0,0,2,NA,NA
gNR5Vyx6D9qt,Closed,1,27,0,1,508,NA,0,0,4,NA,NA
UugpBkHh1aXs,Closed,1,27,0,1,746,1,0,0,1,NA,NA
NqgzgMEvmIn8,Closed,1,26,0,0,590,NA,4,2,0,NA,NA
Ju5w1mgDTQnz,Closed,1,26,0,0,698,NA,0,0,0,NA,NA
K6tXluOI5OXM,Closed,1,25,0,1,424,NA,134,1,3,NA,NA
D2ATkFzucrS5,Closed,1,25,0,0,527,NA,24,4,0,238,239
4rC1EfG3ovZD,Closed,1,42,0,1,544,NA,2,6,4,NA,NA
E7Z5S23iODpK,Closed,1,42,0,1,540,1,30,2,0,NA,NA
jaiPnVMufoM4,Closed,1,41,0,0,472,NA,2,10,1,NA,NA
u7zoNFjyl5zy,Closed,1,41,0,1,540,NA,18,17,2,NA,NA
DndDNR8WY6ZX,Closed,1,41,0,1,472,NA,5,9,4,NA,NA
5F5LzeZeOel9,Closed,1,41,0,0,569,NA,0,0,0,NA,NA
EfP5hYKhSerQ,Closed,1,41,0,1,621,NA,111,18,5,NA,NA
S7uwTL11YeyY,Closed,1,40,0,1,594,NA,15,1,0,NA,NA
tv5poHKuzPNT,Closed,1,40,0,0,525,NA,0,0,2,NA,NA
ng2QAYZ5V8m0,Closed,1,40,1,1,755,1,14,11,0,-160,-125
v5WF0PrkDc6v,Closed,1,40,0,1,551,1,42,67,6,-538,-693
CWFcuMKOu7QJ,Closed,1,40,0,1,590,NA,6,5,0,NA,NA
MNivvBW1hsCX,Closed,1,39,0,1,567,NA,6,1,2,NA,NA
rUQnewaugtDK,Closed,1,39,0,1,556,NA,1,2,1,NA,NA
4KhxW2tzGdnx,Closed,1,38,0,1,556,NA,1,1,0,NA,NA
R7QJq8s1lJIT,Closed,1,38,0,1,570,NA,4,1,0,NA,NA
LhsOtfsG5KP6,Closed,1,37,0,1,505,NA,1,2,1,NA,NA
EKD7c0gO308s,Closed,1,37,0,0,552,NA,7,2,0,NA,NA
YfdLi2N74UwY,Closed,1,37,0,1,556,NA,54,15,2,NA,NA
qgoerNrPoHxw,Closed,1,36,0,1,524,NA,13,4,3,NA,NA
aaj7YthvnqSl,Closed,1,36,0,1,507,NA,6,3,3,NA,NA
xR7mhbZeMNJP,Closed,1,36,0,1,675,NA,37,11,3,-63,-86
rBKCM0KWLJJa,Closed,1,35,0,1,538,NA,1,1,2,25,25
O2Gwhf6uYeEp,Closed,1,35,0,1,599,NA,0,0,0,NA,NA
29vFWfEPaUIu,Closed,1,34,0,1,543,NA,68,4,2,NA,NA
npvMwiVCxDR4,Closed,1,34,0,1,624,1,24,5,0,-1414,-671
ZBS4UL86xMuF,Closed,1,34,0,1,657,NA,22,3,0,NA,NA
yaD7YjCzx3fI,Closed,1,33,0,1,541,1,3,14,0,NA,NA
I3GInmq8xZr3,Closed,1,32,1,1,0,8,8,6,4,-4162,-4176
tB8nY7LVEBxU,Closed,1,32,0,1,591,NA,62,30,6,-341,-461
PIUZpEnJaMg9,Closed,1,31,0,1,547,NA,45,4,3,NA,NA
mHHSGz9pKLFo,Closed,1,31,0,1,494,NA,29,10,2,NA,NA
OAne3rwvxpLE,Closed,1,29,1,0,753,NA,0,0,0,-81,NA
udLC3bwds4gK,Closed,1,29,0,1,612,NA,4,9,0,NA,NA
bB0WWGnQikKn,Closed,1,28,0,1,595,NA,15,2,2,NA,NA
H1g2bzzcotXg,Closed,1,26,0,1,461,NA,7,16,9,NA,NA
txLI4sWql9gg,Closed,1,25,0,1,586,3,95,1,2,NA,NA
83ojJn4yisb5,Closed,1,25,0,1,528,NA,23,3,9,-14,NA
Y8QoIHLE8ALo,Closed,1,24,0,1,527,NA,43,4,1,5,5
MgZSQBmPcL5u,Closed,1,24,0,1,594,NA,12,3,0,NA,NA
ba9zqYnwU2e7,Closed,1,24,0,1,550,NA,3,3,0,NA,NA
1r7YS6EbN8St,Closed,1,23,0,1,574,4,7,2,0,NA,NA
UIzerK9TfIBQ,Closed,1,23,0,1,609,NA,68,25,3,-188,NA
w9UfJrfzQGA2,Closed,1,23,0,1,478,NA,108,1,0,NA,NA
Wjm2CQx7Zucw,Closed,1,22,0,1,446,NA,11,6,3,NA,NA
AZYOFpbSSnMn,Closed,1,22,1,1,707,NA,20,5,3,-56,-44
dI1LIRxxrnzb,Closed,1,38,0,0,486,NA,0,0,4,NA,NA
0Ie5JATbh2OE,Closed,1,41,0,1,558,NA,81,1,2,NA,NA
bVHacwX88WP3,Closed,1,40,0,1,558,NA,0,0,3,NA,NA
Q4UfOBtb9KMq,Closed,1,40,0,1,526,NA,17,34,4,120,242
t34qqLcaqKBn,Closed,1,40,0,0,434,NA,15,60,8,-53,-49
bSGgxWKg9hqY,Closed,1,40,0,1,577,NA,16,27,3,-70,5
faMieUtrKCvp,Closed,1,39,0,1,595,NA,40,1,4,NA,NA
lIKqmeckWrZe,Closed,1,39,0,1,647,NA,108,2,2,NA,NA
vngPnMUGfXpj,Closed,1,39,0,1,579,NA,41,9,0,NA,NA
tbFZq39zleqH,Closed,1,39,0,1,555,NA,27,48,1,NA,NA
G8fXlHPr8xto,Closed,1,38,0,1,557,1,2,2,0,NA,NA
02UZDOZ0avGf,Closed,1,38,0,1,640,NA,41,6,0,NA,NA
PG4GGe5LhAF4,Closed,1,37,0,1,483,NA,62,3,3,NA,NA
zENKr9gvNiZn,Closed,1,36,0,0,557,NA,15,33,11,NA,NA
